date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:49	17979/17979	---MCZ	200	added ('OK')	text/html	etag:W/%22463b-SMX9KGBKw8pjilKVn1nbDCx+61M%22	https://www.layui.com/doc/element/color.html	E:/dev/layui/layui/www.layui.com/doc/element/color.html	(from https://www.layui.com/)
19:36:49	57080/57080	---MCZ	200	added ('OK')	text/html	etag:W/%22def8-qjVCwsjXOFHR1D1kHZZVHchZWy4%22	https://www.layui.com/doc/element/icon.html	E:/dev/layui/layui/www.layui.com/doc/element/icon.html	(from https://www.layui.com/)
19:36:49	16392/16392	---MCZ	200	added ('OK')	text/html	etag:W/%224008-diUlB5l125lX3IqOIyyrKTwC+tI%22	https://www.layui.com/doc/element/anim.html	E:/dev/layui/layui/www.layui.com/doc/element/anim.html	(from https://www.layui.com/)
19:36:49	30678/30678	---MCZ	200	added ('OK')	text/html	etag:W/%2277d6-tPrwsvg4sE2X8mDjOWmmTdtJVSI%22	https://www.layui.com/doc/element/button.html	E:/dev/layui/layui/www.layui.com/doc/element/button.html	(from https://www.layui.com/)
19:36:50	39998/39998	---MCZ	200	added ('OK')	text/html	etag:W/%229c3e-q9BHGFP1aIXDvMUcTz/qEjxKT6E%22	https://www.layui.com/doc/element/form.html	E:/dev/layui/layui/www.layui.com/doc/element/form.html	(from https://www.layui.com/)
19:36:50	27462/27462	---MCZ	200	added ('OK')	text/html	etag:W/%226b46-oLWyDs+0617eahhOVGKQGeZASg0%22	https://www.layui.com/doc/element/nav.html	E:/dev/layui/layui/www.layui.com/doc/element/nav.html	(from https://www.layui.com/)
19:36:50	25496/25496	---MCZ	200	added ('OK')	text/html	etag:W/%226398-VxK8uhEbDrGv6XUdGU78MPo7Kw0%22	https://www.layui.com/doc/element/tab.html	E:/dev/layui/layui/www.layui.com/doc/element/tab.html	(from https://www.layui.com/)
19:36:50	19332/19332	---MCZ	200	added ('OK')	text/html	etag:W/%224b84-dlxfi22AyyfP3DjJVFf/oQP8G5Y%22	https://www.layui.com/doc/element/progress.html	E:/dev/layui/layui/www.layui.com/doc/element/progress.html	(from https://www.layui.com/)
19:36:51	21290/21290	---MCZ	200	added ('OK')	text/html	etag:W/%22532a-CPgKSNIzz0LWeqHoL2zEby6xfis%22	https://www.layui.com/doc/element/panel.html	E:/dev/layui/layui/www.layui.com/doc/element/panel.html	(from https://www.layui.com/)
19:36:51	23089/23089	---MCZ	200	added ('OK')	text/html	etag:W/%225a31-2KNALdFhWikWM9uJxGZD+q8uasQ%22	https://www.layui.com/doc/element/table.html	E:/dev/layui/layui/www.layui.com/doc/element/table.html	(from https://www.layui.com/)
19:36:51	19757/19757	---MCZ	200	added ('OK')	text/html	etag:W/%224d2d-zuQxmjgZI7HrkkNfpw45KefZGnA%22	https://www.layui.com/doc/element/badge.html	E:/dev/layui/layui/www.layui.com/doc/element/badge.html	(from https://www.layui.com/)
19:36:52	18143/18143	---MCZ	200	added ('OK')	text/html	etag:W/%2246df-oknN0jyxuM/W2t2LpsDCCohvR3w%22	https://www.layui.com/doc/element/timeline.html	E:/dev/layui/layui/www.layui.com/doc/element/timeline.html	(from https://www.layui.com/)
19:36:52	15872/15872	---MCZ	200	added ('OK')	text/html	etag:W/%223e00-e0w8GR1YtbGjjGrRYq6SXSjisQo%22	https://www.layui.com/doc/element/auxiliar.html	E:/dev/layui/layui/www.layui.com/doc/element/auxiliar.html	(from https://www.layui.com/)
19:36:52	63364/63364	---MCZ	200	added ('OK')	text/html	etag:W/%22f784-aDa2Yk3y3gdux1l+lIL2u5FiqkY%22	https://www.layui.com/doc/modules/layer.html	E:/dev/layui/layui/www.layui.com/doc/modules/layer.html	(from https://www.layui.com/)
19:36:52	43609/43609	---MCZ	200	added ('OK')	text/html	etag:W/%22aa59-91vLPmk9gdVTvuKlUrxe8rMICos%22	https://www.layui.com/doc/modules/laydate.html	E:/dev/layui/layui/www.layui.com/doc/modules/laydate.html	(from https://www.layui.com/)
19:36:53	20439/20439	---MCZ	200	added ('OK')	text/html	etag:W/%224fd7-mBnwoUhGIuh0X7kesThMdiEaTgw%22	https://www.layui.com/doc/modules/laypage.html	E:/dev/layui/layui/www.layui.com/doc/modules/laypage.html	(from https://www.layui.com/)
19:36:53	18830/18830	---MCZ	200	added ('OK')	text/html	etag:W/%22498e-jmLJ/eOvlokNFQjDJkrJKqdJmNs%22	https://www.layui.com/doc/modules/laytpl.html	E:/dev/layui/layui/www.layui.com/doc/modules/laytpl.html	(from https://www.layui.com/)
19:36:53	79644/79644	---MCZ	200	added ('OK')	text/html	etag:W/%221371c-Liikktgd7DyfVMz+FTxz1ykgPH0%22	https://www.layui.com/doc/modules/table.html	E:/dev/layui/layui/www.layui.com/doc/modules/table.html	(from https://www.layui.com/)
19:36:53	32917/32917	---MCZ	200	added ('OK')	text/html	etag:W/%228095-6hcx6BN3NsjB7SQZdckKdr3ong8%22	https://www.layui.com/doc/modules/form.html	E:/dev/layui/layui/www.layui.com/doc/modules/form.html	(from https://www.layui.com/)
19:36:54	33247/33247	---MCZ	200	added ('OK')	text/html	etag:W/%2281df-pia9O90zo7i6sOtBJ+ACE5vBjg4%22	https://www.layui.com/doc/modules/upload.html	E:/dev/layui/layui/www.layui.com/doc/modules/upload.html	(from https://www.layui.com/)
19:36:54	21494/21494	---MCZ	200	added ('OK')	text/html	etag:W/%2253f6-jB+p4HKk2yCfA6BCcl8r14qZf5c%22	https://www.layui.com/doc/modules/transfer.html	E:/dev/layui/layui/www.layui.com/doc/modules/transfer.html	(from https://www.layui.com/)
19:36:54	27208/27208	---MCZ	200	added ('OK')	text/html	etag:W/%226a48-pICbMIf3WS/CNqlaOhJ3cyFhS2c%22	https://www.layui.com/doc/modules/tree.html	E:/dev/layui/layui/www.layui.com/doc/modules/tree.html	(from https://www.layui.com/)
19:36:55	19507/19507	---MCZ	200	added ('OK')	text/html	etag:W/%224c33-jbqHLJD/rJn7TykH/34sDQHag50%22	https://www.layui.com/doc/modules/colorpicker.html	E:/dev/layui/layui/www.layui.com/doc/modules/colorpicker.html	(from https://www.layui.com/)
19:36:55	27926/27926	---MCZ	200	added ('OK')	text/html	etag:W/%226d16-1wzDp5Rx0Z03ZEVRWBiJ4OIq2QA%22	https://www.layui.com/doc/modules/element.html	E:/dev/layui/layui/www.layui.com/doc/modules/element.html	(from https://www.layui.com/)
19:36:55	20913/20913	---MCZ	200	added ('OK')	text/html	etag:W/%2251b1-JXDBWGeoa2HsDRikfrx3fU4dl+E%22	https://www.layui.com/doc/modules/slider.html	E:/dev/layui/layui/www.layui.com/doc/modules/slider.html	(from https://www.layui.com/)
19:36:56	19810/19810	---MCZ	200	added ('OK')	text/html	etag:W/%224d62-0JdcYqUdMe6pUB8Di9DEHhFwqK8%22	https://www.layui.com/doc/modules/rate.html	E:/dev/layui/layui/www.layui.com/doc/modules/rate.html	(from https://www.layui.com/)
19:36:56	21270/21270	---MCZ	200	added ('OK')	text/html	etag:W/%225316-NFkNkg409cIQ+lEFYVRbXeCukI8%22	https://www.layui.com/doc/modules/carousel.html	E:/dev/layui/layui/www.layui.com/doc/modules/carousel.html	(from https://www.layui.com/)
19:36:56	20871/20871	---MCZ	200	added ('OK')	text/html	etag:W/%225187-d8Tb1HFyi1d1yrRxDGJ94GWxIgk%22	https://www.layui.com/doc/modules/flow.html	E:/dev/layui/layui/www.layui.com/doc/modules/flow.html	(from https://www.layui.com/)
19:36:56	21285/21285	---MCZ	200	added ('OK')	text/html	etag:W/%225325-afKlBCzO2S/FJryotBV8W8+T4iE%22	https://www.layui.com/doc/modules/util.html	E:/dev/layui/layui/www.layui.com/doc/modules/util.html	(from https://www.layui.com/)
19:36:57	89/89	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:57%20GMT	http:../../res.layui.com/static/images/layui/logo-2.png	E:/dev/layui/layui/res.layui.com/static/images/layui/logo-2.png	(from https://www.layui.com/)
19:36:57	20026/20026	---MCZ	200	added ('OK')	text/html	etag:W/%224e3a-fsSI9QA0drRU4lJvuCnx7b/kw5I%22	https://www.layui.com/doc/modules/code.html	E:/dev/layui/layui/www.layui.com/doc/modules/code.html	(from https://www.layui.com/)
19:36:57	78/78	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:57%20GMT	http:../../res.layui.com/layui/dist/layui.js?t=1616653625022	E:/dev/layui/layui/res.layui.com/layui/dist/layuifd01.js	(from https://www.layui.com/)
19:36:58	19357/19357	---MCZ	200	added ('OK')	text/html	etag:W/%224b9d-8IQku/MMvkBC09PsWOYUVNqBoK8%22	https://www.layui.com/demo/grid.html	E:/dev/layui/layui/www.layui.com/demo/grid.html	(from https://www.layui.com/)
19:36:58	10913/10913	---MCZ	200	added ('OK')	text/html	etag:W/%222aa1-0YdJzohxaOhqyN8cQitcyUqpw58%22	https://www.layui.com/demo/admin.html	E:/dev/layui/layui/www.layui.com/demo/admin.html	(from https://www.layui.com/)
19:36:58	19126/19126	---MCZ	200	added ('OK')	text/html	etag:W/%224ab6-Zcv5UoQcz1gb4UyFropW/nkc8rI%22	https://www.layui.com/demo/button.html	E:/dev/layui/layui/www.layui.com/demo/button.html	(from https://www.layui.com/)
19:36:58	29250/29250	---MCZ	200	added ('OK')	text/html	etag:W/%227242-E0ShkhLpAzTvEi5nW4IyxW1s4nA%22	https://www.layui.com/demo/form.html	E:/dev/layui/layui/www.layui.com/demo/form.html	(from https://www.layui.com/)
19:36:59	17445/17445	---MCZ	200	added ('OK')	text/html	etag:W/%224425-ew/RkrUq1oYCf+uAKjq9rPgYvuw%22	https://www.layui.com/demo/nav.html	E:/dev/layui/layui/www.layui.com/demo/nav.html	(from https://www.layui.com/)
19:36:59	17835/17835	---MCZ	200	added ('OK')	text/html	etag:W/%2245ab-lrWscsIzwMjx9BZ9SSlM4qp1NXI%22	https://www.layui.com/demo/tab.html	E:/dev/layui/layui/www.layui.com/demo/tab.html	(from https://www.layui.com/)
19:36:59	14331/14331	---MCZ	200	added ('OK')	text/html	etag:W/%2237fb-MmeW43RhjLKmyKZiUkpoglG2rCg%22	https://www.layui.com/demo/progress.html	E:/dev/layui/layui/www.layui.com/demo/progress.html	(from https://www.layui.com/)
19:37:00	19289/19289	---MCZ	200	added ('OK')	text/html	etag:W/%224b59-FoMfuo8PaEYNFpIG4kiC3gkteNo%22	https://www.layui.com/demo/panel.html	E:/dev/layui/layui/www.layui.com/demo/panel.html	(from https://www.layui.com/)
19:37:00	12541/12541	---MCZ	200	added ('OK')	text/html	etag:W/%2230fd-lfv0ZC234opTiWD/TDXau0gjz3s%22	https://www.layui.com/demo/badge.html	E:/dev/layui/layui/www.layui.com/demo/badge.html	(from https://www.layui.com/)
19:37:00	13658/13658	---MCZ	200	added ('OK')	text/html	etag:W/%22355a-b3oTLaA5A7n2pxIrxQacPom3AXw%22	https://www.layui.com/demo/timeline.html	E:/dev/layui/layui/www.layui.com/demo/timeline.html	(from https://www.layui.com/)
